"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:52:49 GMT 2024","Thu Feb 22 18:52:55 GMT 2024","5092","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:52:56 GMT 2024","Thu Feb 22 18:52:57 GMT 2024","1064","test","test_hootel","TestHootel","","","test_hotel_list",""
