"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:57:19 GMT 2024","Thu Feb 22 18:57:25 GMT 2024","5097","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:57:27 GMT 2024","Thu Feb 22 18:57:28 GMT 2024","1065","test","test_hootel","TestHootel","","","test_hotel_list",""
