"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:41:27 GMT 2024","Thu Feb 22 18:41:28 GMT 2024","1134","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 18:41:25 GMT 2024","Thu Feb 22 18:41:25 GMT 2024","63","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
